Category,Title,Author/Publisher,Language,Level,Edition,Shop/Seller,Price PHP,Product URL,Affiliate Eligibility,SubID,Shopee Affiliate Link
Japanese Reprint,REPRINTED Japanese from Zero! 5th Edition Books 1-5,George Trombley; Yukari Takenaka (shown in description),Japanese,Beginner,Reprint,La Ruché Beauty & Mind,527-581,https://shopee.ph/REPRINTED-Japanese-from-Zero!-5TH-Edition-book-1-5-i.65216027.28253373429,Couldn't verify,JPR01,https://s.shopee.ph/50ZI6p4kOo
Japanese Reprint,Hajimete no Nihongo Nouryoku Shiken Series,Not shown,Japanese,JLPT N5-N2,Reprint,akira_menaide10,520,https://shopee.ph/Hajimete-no-Nihongo-Nouryoku-Shiken-Series-REPRINTS-i.153388550.8274997250,Couldn't verify,JPR02,https://s.shopee.ph/5AsiJ8473r
Japanese Reprint,Nihongo So-matome Series,Not shown,Japanese,JLPT N5-N1,Reprint,akira_menaide10,420-580,https://shopee.ph/Nihongo-So-matome-N5-N1-Series-(REPRINTS)-i.153388550.7038069525,Couldn't verify,JPR03,https://s.shopee.ph/40gkuz8YQe
Japanese Reprint,Basic Japanese for Smooth Communication in the Workplace,Not shown,Japanese,Beginner,Reprint,Nihongoph,280,https://shopee.ph/Basic-Japanese-for-Smooth-Communication-in-the-Workplace-(REPRINT)-A4-size-i.511170139.17283504403,Couldn't verify,JPR04,https://s.shopee.ph/4B0B7I7v5h
Japanese Reprint,Try! Japanese Language Proficiency Test Series,Ask Publishing (shown),Japanese,JLPT N5-N2,Reprint,akira_menaide10,600,https://shopee.ph/Try!-Japanese-Language-Proficiency-Test-Series-(REPRINTS)-i.153388550.7142922296,Couldn't verify,JPR05,https://s.shopee.ph/4LJbJb7Hkk
Japanese Reprint,A Dictionary of Basic/Intermediate/Advanced Japanese Grammar,Not shown,Japanese,Beginner-Advanced; listing estimates JLPT N5-N1,Reprint,akira_menaide10,1000-1200,https://shopee.ph/A-Dictionary-of-Basic-Intermediate-Advance-Japanese-Grammar-REPRINTS-i.153388550.5439946386,Couldn't verify,JPR06,https://s.shopee.ph/4Vd1Vu6ePn
Japanese Reprint,JLPT Kanji N3/N2/N1 with Answer Key,Not shown,Japanese,JLPT N3-N1,Reprint,Nihongoph,130-485,https://shopee.ph/JLPT-KANJI-N3-N2-N1-%28%E3%81%AF%E3%81%98%E3%82%81%E3%81%A6%E3%81%AE%E6%97%A5%E6%9C%AC%E8%AA%9E%E8%83%BD%E5%8A%9B%E8%A9%A6%E9%A8%93N3%E6%BC%A2%E5%AD%97-350-550-800-%E3%83%86%E3%82%B9%E3%83%88%29-WITH-ANSWER-KEY-REPRINT-A4-size-i.511170139.17783766149,Couldn't verify,JPR07,https://s.shopee.ph/gQIwrLFC4
Japanese Reprint,JLPT Tanki Master Drill N5/N4/N3/N1 with Answer Key & Listening,Not shown,Japanese,JLPT N5/N4/N3/N1,Reprint,Nihongoph,309,https://shopee.ph/JLPT-TANKI-MASTER-DRILL-N5-N3-N1-with-Answer-Key-Listening-REPRINT-i.511170139.18240347182,Couldn't verify,JPR08,https://s.shopee.ph/qjj9AKbr7
Korean Reprint,100 Days Korean Grammar Challenge,Soo Kim,Korean,Beginner,Reprint,infinity_oshop,185,https://shopee.ph/100-Days-Korean-Grammar-Challenge-by-Soo-Kim-REPRINTED-Short-Bond-Paper--i.67850443.28510347795,Couldn't verify,KRR01,https://s.shopee.ph/1139LTJyWA
Korean Reprint,Talk to Me in Korean Textbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Reprint,infinity_oshop,220,https://shopee.ph/Talk-to-Me-in-Korean-Level-Textbook-Level-1-to-10-REPRINTED-Short-Bond-Paper--i.67850443.28620280716,Couldn't verify,KRR02,https://s.shopee.ph/1BMZXmJLBD
