Title,Author/Publisher,Language,Level,Edition,Shop/Seller,Price PHP,Direct Product URL,Affiliate eligibility,SubID
100 Days Korean Grammar Challenge,Soo Kim,Korean,Beginner,Reprint,infinity_oshop,185,https://shopee.ph/100-Days-Korean-Grammar-Challenge-by-Soo-Kim-REPRINTED-Short-Bond-Paper--i.67850443.28510347795,Couldn't verify,KRR01
Talk to Me in Korean Textbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Reprint,infinity_oshop,220,https://shopee.ph/Talk-to-Me-in-Korean-Level-Textbook-Level-1-to-10-REPRINTED-Short-Bond-Paper--i.67850443.28620280716,Couldn't verify,KRR02
Talk to Me in Korean Workbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Reprint,infinity_oshop,190,https://shopee.ph/Talk-to-Me-in-Korean-Workbook-Level-1-to-10-REPRINTED-Regular-Size-Short-Bond-Paper--i.67850443.29720274936,Couldn't verify,KRR03
The Korean Verbs Guide Vol. 1,TTMIK,Korean,Beginner-Intermediate,Reprint,infinity_oshop,240,https://shopee.ph/The-Korean-Verbs-Guide-by-Talk-to-Me-in-Korean-Vol-1-REPRINTED-Short-Bond-Paper--i.67850443.26270412008,Couldn't verify,KRR04
King Sejong Institute Korean 1 Workbook English Version,King Sejong Institute,Korean,Beginner,Reprint,infinity_oshop,420,https://shopee.ph/King-Sejong-Institute-Korean-1-Workbook-English-Version-Reprinted-Book-Learn-Korean-i.67850443.47760457137,Couldn't verify,KRR05
My First 500 Korean Words,TTMIK,Korean,Beginner,Reprint,infinity_oshop,540,https://shopee.ph/My-First-500-Korean-Words-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28920411063,Couldn't verify,KRR06
My Daily Routine in Korean,TTMIK,Korean,Beginner,Reprint,infinity_oshop,189,https://shopee.ph/My-Daily-Routine-in-Korean-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.24389354320,Couldn't verify,KRR07
Easy Korean Reading for Beginners,TTMIK,Korean,Beginner,Reprint,infinity_oshop,171,https://shopee.ph/Easy-Korean-Reading-For-Beginners-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28220388018,Couldn't verify,KRR08
The Korean Verbs Guide Vol. 2,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,230,https://shopee.ph/The-Korean-Verbs-Guide-by-Talk-to-Me-in-Korean-Vol-2-REPRINTED-Short-Bond-Paper--i.67850443.29520414415,Couldn't verify,KRR09
Korean Q&A Sentence Patterns,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,320,https://shopee.ph/Korean-QA-Sentence-Patterns-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.28020414609,Couldn't verify,KRR10
Korean Made Simple Vol. 1,Billy Go,Korean,Beginner,Reprint,infinity_oshop,540,https://shopee.ph/Korean-Made-Simple-A-beginner%E2%80%99s-guide-to-the-Korean-Language-Volume-1-REPRINTED-Short-Bond-Paper--i.67850443.27820377830,Couldn't verify,KRR11
Korean Made Simple Vol. 2,Billy Go,Korean,Intermediate,Reprint,infinity_oshop,490,https://shopee.ph/Korean-Made-Simple-2-The-next-step-in-learning-the-Korean-Language-REPRINTED-Short-Bond-Paper--i.67850443.29720385513,Couldn't verify,KRR12
Common Mistakes Korean Learners Make,TTMIK and Billy Go,Korean,Intermediate,Reprint,infinity_oshop,295,https://shopee.ph/Common-Mistakes-Korean-Learners-Make-by-TTMIK-and-Billy-Go-REPRINTED-Short-Bond-Paper--i.67850443.28220387852,Couldn't verify,KRR13
Korean Phrasebook for Travelers,TTMIK,Korean,Beginner,Reprint,infinity_oshop,310,https://shopee.ph/Korean-Phrasebook-for-Travelers-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.29120397695,Couldn't verify,KRR14
Survival Korean,TTMIK,Korean,Beginner,Reprint,infinity_oshop,290,https://shopee.ph/Survival-in-Korean-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.27870425380,Couldn't verify,KRR15
Everyday Korean Idiomatic Expressions,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,330,https://shopee.ph/Everyday-Korean-Idiomatic-Expressions-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.24389356262,Couldn't verify,KRR16
Korean Made Simple Vol. 3,Billy Go,Korean,Intermediate-Advanced,Reprint,infinity_oshop,660,https://shopee.ph/Korean-Made-Simple-3-Continuing-your-journey-of-learning-the-Korean-Language-REPRINTED--i.67850443.29620386325,Couldn't verify,KRR17
Aesop's Fables,TTMIK,Korean,Intermediate,Reprint,infinity_oshop,270,https://shopee.ph/Aesop's-Fables-by-Talk-to-Me-in-Korean-REPRINTED-Short-Bond-Paper--i.67850443.25439302741,Couldn't verify,KRR18
Sejong Korean Student Book / Workbook / Extension Activity Workbook,King Sejong Institute,Korean,Multiple levels,Reprint,Nihongoph,290-465,https://shopee.ph/SEJONG-KOREAN-STUDENT-BOOK-WORKBOOK-AND-EXTENSION-ACTIVITY-WORKBOOK-%28REPRINT%29-i.511170139.27174998964,Couldn't verify,KRR19
TOPIK I & II Mock Test with Answer Key + Audio,Not shown,Korean,TOPIK I Beginner / TOPIK II Advanced,Reprint,Nihongoph,130,https://shopee.ph/TOPIK-I-II-Mock-Test-w-Answer-Key-Audio-Reprint-i.511170139.26323269229,Couldn't verify,KRR20
