Title,Author/Publisher,Language,Level,Edition,Shop/Seller,Price PHP,Direct Product URL,Affiliate eligibility,SubID
"Sejong Korean Textbook (Revised Version), Korean/English",King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,1010,https://shopee.ph/Sejong-Korean-Textbook-(revised-version)-Korean-English-i.765094109.23850098127,Couldn't verify,KRO01
Sejong Korean Vocabulary and Grammar,King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,388,https://shopee.ph/Sejong-Korean-Vocabulary-and-Grammar-i.765094109.22317105939,Couldn't verify,KRO02
Sejong Korean Workbook (Revised Version) / Teacher's Guide,King Sejong Institute,Korean,Multiple levels,Official,declenkriz.ph,883,https://shopee.ph/Sejong-Korean-WorkBook(revised-version)-Teacher's-Guide-i.765094109.18670746505,Couldn't verify,KRO03
Talk To Me In Korean Textbook Levels 1-10,TTMIK,Korean,Beginner-Advanced,Official,declenkriz.ph,865,https://shopee.ph/Talk-To-Me-In-Korean-Textbook-level-1-10-TTMIK-i.765094109.18935475930,Couldn't verify,KRO04
Talk To Me In Korean Workbook Levels 1-9,TTMIK,Korean,Beginner-Advanced,Official,declenkriz.ph,780,https://shopee.ph/TTMIK.-Talk-To-Me-In-Korean-Workbook-level-1-9-i.765094109.29152543811,Couldn't verify,KRO05
Korean Grammar in Use: Beginning,Not shown,Korean,Beginner,Official,declenkriz.ph,1473,https://shopee.ph/Korean-Language-Korean-Grammar-in-Use-Beginning-i.765094109.18131204546,Couldn't verify,KRO06
Basic Korean for Vocabulary with MP3,Not shown,Korean,Beginner,Official,declenkriz.ph,1270,https://shopee.ph/Korean-language-BASIC-KOREAN-FOR-VOCABULARY-with-MP3-Free-Download-%EB%A0%88%EC%A0%84%EB%93%9C-%ED%95%9C%EA%B5%AD%EC%96%B4-%ED%95%84%EC%88%98%EB%8B%A8%EC%96%B4-i.765094109.23907316378,Couldn't verify,KRO07
"Korean Grammar for Speaking, English Version",Not shown,Korean,Beginner-Intermediate,Official,declenkriz.ph,1230,https://shopee.ph/Korean-Grammar-for-Speaking-English-Ver.-i.765094109.22233781778,Couldn't verify,KRO08
Basic Korean for Conversation: Business and Travel + MP3,Not shown,Korean,Beginner,Official,declenkriz.ph,1340,https://shopee.ph/Basic-Korean-for-Conversation-Useful-Expressions-for-Business-and-Travel-Language-Book-Free-MP3-i.765094109.18126264976,Couldn't verify,KRO09
Korean Language Handwriting Hangul,Not shown,Korean,Beginner,Official,declenkriz.ph,478,https://shopee.ph/Korean-Language-Handwriting-Hangul-i.765094109.18930112380,Couldn't verify,KRO10
My First Writing Practice in Korean,Not shown,Korean,Beginner,Official,declenkriz.ph,1000,https://shopee.ph/Korean-Language-My-First-Writing-Practice-In-Korean-Everyday-Writing-Practice-i.765094109.17283508623,Couldn't verify,KRO11
TOPIK: It's OK in This Single Book,Not shown,Korean,TOPIK; exact level not shown,Official,declenkriz.ph,1425,https://shopee.ph/TOPIK-It's-OK-in-this-single-book(English-Edition-Chinese-Edition)-i.765094109.21031196276,Couldn't verify,KRO12
TOPIK II Pass Recipe Practical Test / Actual Mock Test,Not shown,Korean,TOPIK II,Official,declenkriz.ph,1952,https://shopee.ph/Korean-Language-Proficiency-Test-TOPIK-2-(Topic-2)-Pass-Recipe-Practical-Test-TOPIK-2-Pass-Recipe-Actual-Mock-Test-i.765094109.20738086401,Couldn't verify,KRO13
COOL TOPIK: Speaking/Reading/Writing/Listening,Not shown,Korean,TOPIK,Official,declenkriz.ph,1600,https://shopee.ph/COOL-TOPIK-Speaking-Reading-Writing-Listening-Comprehensive-Book-i.765094109.18666019551,Couldn't verify,KRO14
Complete TOPIK with One Book by Frequency,Not shown,Korean,Intermediate-Advanced,Official,declenkriz.ph,1375,https://shopee.ph/COMPLETE-TOPIK-WITH-ONE-BOOK-FOR-INTERMEDIATE-to-ADVANCED-by-Frequency-i.765094109.17990465319,Couldn't verify,KRO15
TOPIK II PICK Reading and Writing Preparation,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1590,https://shopee.ph/TOPIK-II-PICK-A-TOPIK-II-Preparation-Textbook-with-Section-by-Section-Reading-and-Writing-Exercises-a-Practical-Korean-Language-Study-Guide-for-TOPIK-II-i.765094109.52768313431,Couldn't verify,KRO16
TOPIK II: Write Along,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1749,https://shopee.ph/TOPIK-II-Write-Along%E2%80%94An-intensive-study-guide-for-learning-by-writing-along-and-an-exam-preparation-workbook-designed-to-improve-sentence-structure-and-writing-skills-i.765094109.42434713198,Couldn't verify,KRO17
Special Preparation Course for TOPIK II: Reading,Not shown,Korean,TOPIK-II,Official,declenkriz.ph,1105,https://shopee.ph/Special-Preparation-Course-for-the-TOPIK-II-(Level-2)-Korean-Language-Proficiency-Test-Reading%E2%80%94A-Test-Prep-Book-Featuring-Question-Types-and-Real-Test-Reading-Practice-i.765094109.48868322204,Couldn't verify,KRO18
Korean Q&A Sentence Patterns,Not shown,Korean,Intermediate,Official,declenkriz.ph,1100,https://shopee.ph/Korean-Q-A-Sentence-Patterns-Collection-of-Korean-question-patterns-i.765094109.21439710080,Couldn't verify,KRO19
Korean Handwriting / Korean Penwriting Textbook,Not shown,Korean,Beginner,Official,declenkriz.ph,775,https://shopee.ph/Korean-handwriting-Korean-penwriting-textbook-i.765094109.24020912708,Couldn't verify,KRO20
