Title,Author/Publisher,Language,Level,Edition,Shop/Seller,Price PHP,Direct Product URL,Affiliate eligibility,SubID
GENKI 3rd Edition,Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,1629,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-GENKI-3rd-Edition-i.29221369.3155455145,Couldn't verify,JPO01
"Minna no Nihongo Elementary 1, Second Edition",Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,979,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Minna-no-Nihongo-Elementary-1-Second-Edition-i.29221369.1898516059,Couldn't verify,JPO02
Self Study Kana Workbook,Not shown,Japanese,Beginner,Official,JapanesebookstoPH Online Store,1388,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Self-Study-Kana-Workbook-i.29221369.2603319574,Couldn't verify,JPO03
JLPT N5 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N5-Official-Practice-Workbook-Vol-1-i.29221369.875779516,Couldn't verify,JPO04
JLPT N5 Official Practice Workbook Vol. 2,Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N5-Official-Practice-Workbook-Vol-2-i.29221369.1898687965,Couldn't verify,JPO05
"Nihongo Sou Matome JLPT N5, Multilingual Version",Not shown,Japanese,JLPT-N5,Official,JapanesebookstoPH Online Store,1702,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N5-i.29221369.24281576154,Couldn't verify,JPO06
Shin Kanzen Master JLPT N4 Grammar,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1299,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N4-Grammar-i.29221369.977089339,Couldn't verify,JPO07
Shin Kanzen Master JLPT N4 Listening,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1437,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N4-Listening-i.29221369.2317211494,Couldn't verify,JPO08
"Nihongo Sou Matome JLPT N4 Kanji/Vocabulary, Multilingual",Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1426,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N4-Kanji-Vocabulary-i.29221369.25681571469,Couldn't verify,JPO09
"Nihongo Sou Matome JLPT N4 Grammar/Reading/Listening, Multilingual",Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,1702,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Multilingual-Version-Nihongo-Sou-Matome-JLPT-N4-Grammar-Reading-Listening-i.29221369.28901545962,Couldn't verify,JPO10
JLPT N4 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N4-Official-Practice-Workbook-Vol-1-i.29221369.871807053,Couldn't verify,JPO11
JLPT N4 Official Practice Workbook Vol. 2,Not shown,Japanese,JLPT-N4,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N4-Official-Practice-Workbook-Vol-2-i.29221369.1898691200,Couldn't verify,JPO12
2000 Essential Vocabulary for JLPT N3,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1365,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-2000-Essential-Vocabulary-for-the-JLPT-N3-i.29221369.7449622233,Couldn't verify,JPO13
JLPT N3 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N3-Shin-Nihongo-500-Mon-i.29221369.1961188054,Couldn't verify,JPO14
Shin Kanzen Master JLPT N3 Listening,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,1511,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N3-Listening-i.29221369.3943249551,Couldn't verify,JPO15
JLPT N3 Official Practice Workbook Vol. 1,Not shown,Japanese,JLPT-N3,Official,JapanesebookstoPH Online Store,805,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N3-Official-Practice-Workbook-Vol-1-i.29221369.619555498,Couldn't verify,JPO16
2500 Essential Vocabulary for JLPT N2,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1549,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-2500-Essential-Vocabulary-for-the-JLPT-N2-i.29221369.2739492794,Couldn't verify,JPO17
JLPT N2 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N2-Shin-Nihongo-500-Mon-i.29221369.14434461168,Couldn't verify,JPO18
Shin Kanzen Master JLPT N2 Vocabulary,Not shown,Japanese,JLPT-N2,Official,JapanesebookstoPH Online Store,1456,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-Shin-Kanzen-Master-JLPT-N2-Vocabulary-i.29221369.2545276117,Couldn't verify,JPO19
JLPT N1 Shin Nihongo 500 Mon,Not shown,Japanese,JLPT-N1,Official,JapanesebookstoPH Online Store,1225,https://shopee.ph/%F0%9F%87%AF%F0%9F%87%B5-Japanese-Book-JLPT-N1-Shin-Nihongo-500-Mon-i.29221369.12368241379,Couldn't verify,JPO20
